customer_id;first_name;last_name;street;city;state;zip_code;order_id;order_date;order_status;required_date;shipped_date;staff_id;item_id;list_price;quantity;discount;product_id;product_name;total_before_disc;total_after_disc
NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;"Trek 820 - 2016";NULL;NULL
175;Nova;Hess;"773 South Lafayette St. ";Duarte;CA;91010;4;2016-01-03;4;2016-01-04;2016-01-05;3;1;749.99;2;0.10;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1349.9820
541;Lanita;Burton;"8980 Aspen Avenue ";Coachella;CA;92236;18;2016-01-14;4;2016-01-17;2016-01-15;3;1;749.99;2;0.20;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1199.9840
1280;Jackeline;Colon;"9916 Cedarwood Drive ";"Wappingers Falls";NY;12590;26;2016-01-18;4;2016-01-21;2016-01-19;7;2;749.99;1;0.20;2;"Ritchey Timberwolf Frameset - 2016";749.99;599.9920
563;Rodney;Odom;"7782 North Deerfield Lane ";"Richmond Hill";NY;11418;59;2016-02-05;4;2016-02-07;2016-02-06;7;2;749.99;1;0.10;2;"Ritchey Timberwolf Frameset - 2016";749.99;674.9910
1253;Susannah;Fields;"17 Railroad Street ";"Far Rockaway";NY;11691;66;2016-02-09;4;2016-02-12;2016-02-12;7;1;749.99;1;0.20;2;"Ritchey Timberwolf Frameset - 2016";749.99;599.9920
1328;Cindie;Franklin;"7249 Franklin St. ";Lawndale;CA;90260;93;2016-02-26;4;2016-02-28;2016-02-27;3;4;749.99;1;0.20;2;"Ritchey Timberwolf Frameset - 2016";749.99;599.9920
204;Alpha;King;"14 Henry Smith St. ";"Rockville Centre";NY;11570;97;2016-02-28;4;2016-02-29;2016-03-01;7;2;749.99;1;0.07;2;"Ritchey Timberwolf Frameset - 2016";749.99;697.4907
1194;Leticia;Snyder;"173 Lyme Dr. ";Pittsford;NY;14534;98;2016-02-28;4;2016-02-29;2016-02-29;6;3;749.99;1;0.20;2;"Ritchey Timberwolf Frameset - 2016";749.99;599.9920
1431;Mark;Benton;"83 Eagle St. ";"East Elmhurst";NY;11369;114;2016-03-08;4;2016-03-10;2016-03-11;7;2;749.99;1;0.07;2;"Ritchey Timberwolf Frameset - 2016";749.99;697.4907
755;Tomika;Wilder;"142 South Ocean St. ";"New Hyde Park";NY;11040;121;2016-03-14;4;2016-03-15;2016-03-16;6;5;749.99;2;0.05;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1424.9810
46;Monika;Berg;"369 Vernon Dr. ";Encino;CA;91316;132;2016-03-20;4;2016-03-22;2016-03-23;3;1;749.99;2;0.05;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1424.9810
679;Tuan;Wolfe;"7641 Oak Meadow Dr. ";"West Babylon";NY;11704;134;2016-03-20;4;2016-03-21;2016-03-21;7;2;749.99;2;0.07;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1394.9814
1354;Alexandria;Zamora;"95 Cherry Circle ";Schenectady;NY;12302;135;2016-03-21;4;2016-03-23;2016-03-23;7;4;749.99;1;0.05;2;"Ritchey Timberwolf Frameset - 2016";749.99;712.4905
288;Keturah;Massey;"189 Arnold Drive ";Banning;CA;92220;146;2016-03-28;4;2016-03-30;2016-03-30;3;5;749.99;1;0.07;2;"Ritchey Timberwolf Frameset - 2016";749.99;697.4907
574;Adriene;Rivera;"973 Yukon Avenue ";Encino;CA;91316;165;2016-04-08;4;2016-04-10;2016-04-10;3;3;749.99;1;0.05;2;"Ritchey Timberwolf Frameset - 2016";749.99;712.4905
951;Steve;Bender;"908 N. Pennington Dr. ";Scarsdale;NY;10583;175;2016-04-13;4;2016-04-14;2016-04-14;6;2;749.99;2;0.20;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1199.9840
643;Melba;Wilkinson;"255 Harvard Dr. ";"Floral Park";NY;11001;176;2016-04-15;4;2016-04-16;2016-04-17;7;1;749.99;2;0.07;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1394.9814
728;Viva;Dawson;"446 Princess Ave. ";"Orchard Park";NY;14127;192;2016-04-27;4;2016-04-28;2016-04-29;7;3;749.99;1;0.05;2;"Ritchey Timberwolf Frameset - 2016";749.99;712.4905
127;Erlinda;Nielsen;"728 Oxford Lane ";Maspeth;NY;11378;197;2016-04-30;4;2016-05-03;2016-05-03;7;2;749.99;2;0.07;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1394.9814
1140;Penney;Hall;"8306 Jockey Hollow Street ";Liverpool;NY;13090;211;2016-05-07;4;2016-05-09;2016-05-08;6;2;749.99;2;0.07;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1394.9814
1179;Vernetta;Banks;"7633 Albany St. ";Brooklyn;NY;11201;218;2016-05-12;4;2016-05-14;2016-05-14;7;1;749.99;2;0.10;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1349.9820
51;Gertrud;Rhodes;"9961 Meadowbrook Street ";Merrick;NY;11566;222;2016-05-13;4;2016-05-16;2016-05-14;6;2;749.99;2;0.10;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1349.9820
501;Tony;Hicks;"226 Carriage Street ";Anaheim;CA;92806;226;2016-05-17;4;2016-05-19;2016-05-20;2;1;749.99;1;0.05;2;"Ritchey Timberwolf Frameset - 2016";749.99;712.4905
615;Jamika;Blanchard;"420 Cambridge Street ";"Fresh Meadows";NY;11365;228;2016-05-17;4;2016-05-20;2016-05-20;7;2;749.99;2;0.07;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1394.9814
206;Stephaine;Riddle;"199 Vermont Court ";Brooklyn;NY;11201;236;2016-05-25;4;2016-05-27;2016-05-26;6;2;749.99;2;0.10;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1349.9820
801;Ophelia;Rodgers;"133 Joy Ridge Drive ";"Hopewell Junction";NY;12533;255;2016-06-03;4;2016-06-06;2016-06-05;7;3;749.99;2;0.20;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1199.9840
413;Ginette;Edwards;"9262 NW. Center Ave. ";Baldwin;NY;11510;259;2016-06-06;4;2016-06-09;2016-06-09;7;3;749.99;2;0.20;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1199.9840
579;Matilda;Larson;"336 Saxon Court ";Harlingen;TX;78552;262;2016-06-08;4;2016-06-11;2016-06-10;9;1;749.99;1;0.07;2;"Ritchey Timberwolf Frameset - 2016";749.99;697.4907
1322;Ai;Forbes;"254 Central St. ";"Franklin Square";NY;11010;263;2016-06-09;4;2016-06-10;2016-06-12;6;3;749.99;2;0.05;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1424.9810
497;Ezra;Fowler;"16 Pearl St. ";Nanuet;NY;10954;272;2016-06-15;4;2016-06-18;2016-06-16;7;1;749.99;2;0.07;2;"Ritchey Timberwolf Frameset - 2016";1499.98;1394.9814
